Grid Size,Algorithm,16% Expansion,16% Time,12% Expansion,12% Time,8% Expansion,8% Time,4% Expansion,4% Time
8x8,A*,490,5561,1619,18914,2704,37806,7589,118595
8x8,XMM,495,7488,1477,22694,2558,44170,8231,151272
8x8,A*/XMM,0.99,0.74,1.10,0.83,1.06,0.86,0.92,0.78
8x9,A*,1253,15980,2269,32256,8307,109656,22071,353064
8x9,XMM,1337,22287,2414,44514,8587,143837,22948,421791
8x9,A*/XMM,0.94,0.72,0.94,0.72,0.97,0.76,0.96,0.84
8x10,A*,2088,31882,8679,156774,15500,299950,45738,897050
8x10,XMM,2213,42192,8028,178863,16824,382081,50903,1085442
8x10,A*/XMM,0.94,0.76,1.08,0.88,0.92,0.79,0.90,0.83
9x9,A*,2707,39360,5343,105820,15100,308376,49846,974737
9x9,XMM,2563,48213,5062,120779,14422,346791,52407,1166377
9x9,A*/XMM,1.06,0.82,1.06,0.88,1.05,0.89,0.95,0.84
9x10,A*,5506,88386,13198,261174,28709,568230,,
9x10,XMM,5027,116011,13616,319952,32626,753960,,
9x10,A*/XMM,1.10,0.76,0.97,0.82,0.88,0.75,,
10x10,A*,10435,206672,39206,759317,98709,2099692,,
10x10,XMM,9741,246562,38275,887170,98865,2424708,,
10x10,A*/XMM,1.07,0.84,1.02,0.86,1.00,0.87,,
